name,url,platform
Graphic Design,https://uct-online.getsmarter.com/presentations/lp/uct-graphic-design-short-course/,
Business Systems Analysis,https://uct-online.getsmarter.com/presentations/lp/business-analyst-bsa-short-course/,
Business Risk Management,https://uct-online.getsmarter.com/presentations/lp/uct-business-risk-management-short-course/,
IT Management,https://uct-online.getsmarter.com/presentations/lp/uct-it-management-short-course/,
Web Design,https://uct-online.getsmarter.com/presentations/lp/uct-web-design-short-course/,
User Experience Design,https://uct-online.getsmarter.com/presentations/lp/user-experience-ux-design-short-course/,
Marketing,https://uct-online.getsmarter.com/presentations/lp/uct-marketing-short-course/,
Construction Management,https://uct-online.getsmarter.com/presentations/lp/uct-construction-management-online-short-course/,
Strategic Business Management,https://uct-online.getsmarter.com/presentations/lp/strategic-business-management-short-course/,
Compliance Management,https://uct-online.getsmarter.com/presentations/lp/compliance-management-online-short-course/,
Foundations of Business Management,https://uct-online.getsmarter.com/presentations/lp/uct-foundations-of-business-management-short-course/,
Artificial Intelligence: Implications for Business Strategy,https://mit-online.getsmarter.com/presentations/lp/mit-artificial-intelligence-online-short-course/,
Oxford Artificial Intelligence Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-artificial-intelligence-programme-pr/,
Higher Education Teaching Certificate,https://harvardx-onlinecourses.getsmarter.com/presentations/lp/harvard-bok-higher-education-teaching-certificate-pr/,
Artificial Intelligence in Health Care,https://mit-online.getsmarter.com/presentations/lp/mit-ai-in-healthcare-online-short-course-pr/,
MBA Essentials,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-mba-essentials-online-certificate-course-pr/,
Real Estate Economics and Finance Online Certificate Course,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-real-estate-economics-and-finance-online-certificate-course-pr/,
Oxford Executive Strategy Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-executive-strategy-programme/,
Public Policy Analysis,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-public-policy-analysis-online-certificate-course/,
Managerial Finance,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-managerial-finance-online-certificate-course/,
Managing People and Teams,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-managing-people-and-teams-online-certificate-course/,
Child Development: Behavior and Mental Health,https://sche-online.getsmarter.com/presentations/lp/stanford-child-development-behavior-and-mental-health-online-short-course/,
"Positive Psychology and Well-Being: The Psychological, Biological, and Social Aspects of Happiness",https://sche-online.getsmarter.com/presentations/lp/stanford-positive-psychology-and-well-being-online-short-course/,
Oxford Enterprise Leadership Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-enterprise-leadership-programme,
Blockchain Technologies: Business Innovation and Application,https://mit-online.getsmarter.com/presentations/lp/mit-blockchain-technologies-online-short-course/,
Pricing: Using Data to Improve Pricing Performance,https://mit-online.getsmarter.com/presentations/lp/mit-pricing-strategies-online-short-course/,
Oxford Digital Marketing: Disruptive Strategy Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-digital-marketing-programme-pr/,
Cambridge Governance for a Sustainable Future online short course,https://online-short-courses.cisl.cam.ac.uk/presentations/lp/cambridge-governance-for-a-sustainable-future-online-short-course/,
Oxford Entrepreneurship: Venture Finance Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-entrepreneurship-venture-finance-online-programme/,
Oxford Entrepreneurship: Venture Creation Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-entrepreneurship-venture-creation-programme/,
Sustainable Real Estate: Creating a Better Built Environment,https://cisl-onlinecourses.getsmarter.com/presentations/lp/cambridge-sustainable-real-estate-creating-a-better-built-environment-online-short-course/,
Accounting,https://uct-online.getsmarter.com/presentations/lp/uct-accounting-short-course/,
Sales Management,https://uct-online.getsmarter.com/presentations/lp/uct-sales-management-short-course/,
Professional Communication and Office Management,https://uct-online.getsmarter.com/presentations/lp/uct-professional-communication-and-office-administration-short-course/,
Psychology for High Performance,https://sche-online.getsmarter.com/presentations/lp/stanford-psychology-for-high-performance-online-micro-course/,
Business Development Management,https://uct-online.getsmarter.com/presentations/lp/uct-business-development-short-course/,
Project Management Foundations: An Organisational Perspective,https://uct-online.getsmarter.com/presentations/lp/uct-project-management-foundations-an-organisational-perspective-online-short-course,
Property Development and Investment,https://uct-online.getsmarter.com/presentations/lp/uct-property-development-and-investment-short-course/,
Investment Management,https://uct-online.getsmarter.com/presentations/lp/investment-management-online-short-course/,
"Speaking in Public: Storytelling, Influence, and Presence",https://getsmarter.com/presentations/lp/getsmarter-speaking-in-public-online-micro-course/,
Digital Marketing,https://uct-online.getsmarter.com/presentations/lp/uct-digital-marketing-short-course/,
Events Management,https://uct-online.getsmarter.com/presentations/lp/uct-events-management-short-course/,
Commercial and Contract Law,https://uct-online.getsmarter.com/presentations/lp/uct-commercial-and-contract-law-short-course/,
Business Sustainability Management,https://cisl-onlinecourses.getsmarter.com/presentations/lp/university-of-cambridge-business-sustainability-management-online-short-course/,
Healthcare Leadership,https://rotman-utoronto.getsmarter.com/presentations/lp/university-of-toronto-healthcare-leadership-online-program/,
Professional Communication: Business Writing and Storytelling,https://getsmarter.economist.com/presentations/lp/the-economist-professional-communication-business-writing-and-storytelling-online-short-course-pr/,
Data Analysis for Management,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-data-analysis-for-management-online-certificate-course-pr/,
Nutrition Science,https://sche-online.getsmarter.com/presentations/lp/stanford-sche-nutrition-science-online-short-course-pr/,
Machine Learning in Business,https://mit-online.getsmarter.com/presentations/lp/mit-machine-learning-online-short-course/,
"Sustainable Marketing, Media and Creative",https://online-short-courses.cisl.cam.ac.uk/presentations/lp/cambridge-sustainable-marketing-media-and-creative-online-short-course/,
Neuroscience for Business,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-neuroscience-for-business-online-short-course/,
Business Management Executive Programme,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-business-management-executive-programme,
Leadership in an Exponentially Changing World,https://mit-online.getsmarter.com/presentations/lp/mit-leadership-in-an-exponentially-changing-world-online-program/,
"Fintech and the Future of Finance: Blockchain, Cryptocurrencies, Govcoins and the Payments Revolution",https://getsmarter.economist.com/presentations/lp/the-economist-fintech-and-the-future-of-finance-blockchain-cryptocurrencies-govcoins-and-the-payments-revolution-online-short-course/,
The Law and Economics of Mergers and Acquisitions,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-the-law-and-economics-of-mergers-and-acquisitions-online-certificate-course/,
"Climate Change and Business: Sustainability, Risk and the Push for Net Zero",https://getsmarter.economist.com/presentations/lp/the-economist-climate-change-and-business-sustainability-risk-and-the-push-for-net-zero-online-short-course/,
Modelling Cost-Effectiveness in Healthcare,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-modelling-cost-effectiveness-in-healthcare-online-certificate-course/,
Oxford Strategic Innovation Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-strategic-innovation-programme/,
Communicating for Influence and Impact,https://cisl-onlinecourses.getsmarter.com/presentations/lp/university-of-cambridge-communication-for-influence-and-impact-online-short-course/,
Copy-editing,https://uct-online.getsmarter.com/presentations/lp/uct-copy-editing-short-course/,
Training and Development Management,https://uct-online.getsmarter.com/presentations/lp/uct-training-and-development-management-short-course/,
Advanced Project Management,https://uct-online.getsmarter.com/presentations/lp/uct-advanced-project-management-short-course/,
Energy Efficiency and Sustainability,https://uct-online.getsmarter.com/presentations/lp/uct-energy-efficiency-and-sustainability-short-course/,
Financial Modelling and Analysis,https://uct-online.getsmarter.com/presentations/lp/uct-financial-modelling-and-analysis-short-course/,
"Import, Export, and Logistics Management",https://uct-online.getsmarter.com/presentations/lp/uct-import-and-export-management-short-course/,
Ethics of AI,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-ethics-of-ai-online-course/,
Compliance Essentials,https://uct-online.getsmarter.com/presentations/lp/uct-compliance-essentials-online-short-course/,
Management Essentials,https://uct-online.getsmarter.com/presentations/lp/uct-management-essentials-online-short-course/,
Negotiation and Conflict Resolution,https://uct-online.getsmarter.com/presentations/lp/uct-negotiation-and-conflict-resolution-online-short-course/,
Artificial Intelligence in Pharma and Biotech,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-artificial-intelligence-in-pharma-and-biotech-online-short-course/,
Cybersecurity: Managing Risk in the Information Age,https://harvardx-onlinecourses.getsmarter.com/presentations/lp/harvard-cybersecurity-online-short-course/,
Organizational Design for Digital Transformation,https://mit-online.getsmarter.com/presentations/lp/mit-organizational-design-for-digital-transformation-online-short-course-pr/,
Oxford Senior Leadership Executive Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-senior-leadership-executive-programme/,
Data Monetization Strategy: Creating Value Through Data,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-data-monetization-strategy-creating-value-through-data-online-short-course/,
Blockchain and Crypto Applications: From Decentralized Finance to Web 3,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-blockchain-and-crypto-applications-from-decentralized-finance-to-web-3-online-short-course/,
Business Process Design for Strategic Management,https://mit-online.getsmarter.com/presentations/lp/mit-business-process-design-for-strategic-management-online-short-course/,
Risk and Crisis Management,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-risk-and-crisis-management-online-certificate-course/,
Digital Marketing: A Strategic Perspective,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-execed-digital-marketing-a-strategic-perspective-online-program/,
Women's Strategic Leadership Program,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-executive-education-womens-strategic-leadership-program/,
Digital Transformation in HR,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-digital-transformation-in-hr-online-certificate-course/,
Healthcare Management,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-execed-health-management-program-online/,
Sustainable Supply Chain Management,https://cisl-onlinecourses.getsmarter.com/presentations/lp/university-of-cambridge-sustainable-supply-chain-management-online-short-course/,
Oxford Leading Professional Service Firms Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-leading-professional-service-firms-programme/,
Oxford Climate Emergency Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-climate-emergency-programme/,
Leading Sustainability: High Impact Leadership,https://cisl-onlinecourses.getsmarter.com/presentations/lp/cambridge-leading-sustainability-high-impact-leadership-online-short-course/,
Commercial Real Estate Analysis and Investment,https://mit-online.getsmarter.com/presentations/lp/mit-commercial-real-estate-analysis-and-investment-online-short-course/,
Business and Climate Change: Towards Net Zero Emissions,https://cisl-onlinecourses.getsmarter.com/presentations/lp/university-of-cambridge-business-and-climate-change-towards-net-zero-emissions-online-short-course-formv2/,
Facilities Management,https://uct-online.getsmarter.com/presentations/lp/uct-facilities-management-online-short-course/,
Executive Support,https://uct-online.getsmarter.com/presentations/lp/executive-office-administration-short-course/,
"Corporate Sustainability Management: Risk, Profit, and Purpose",https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-execed-corporate-sustainability-management-risk-profit-and-purpose-online-program/,
Sustainable Finance,https://cisl-onlinecourses.getsmarter.com/presentations/lp/university-of-cambridge-sustainable-finance-online-short-course-pr/,
Communicating Data Through Storytelling,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-communicating-data-through-storytelling-online-short-course/,
Oxford Leading Strategic Projects Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-leading-strategic-projects-programme/,
Human Capital Strategy: Creating a Sustainable Competitive Advantage,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-executive-education-human-capital-strategy-online-program/,
Oxford Executive Finance Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-executive-finance-programme/,
Corporate Innovation: Strategies for Leveraging Ecosystems,https://mit-online.getsmarter.com/presentations/lp/mit-corporate-innovation-online-short-course/,
MIT SA+P Sustainable Real Estate: Analysis and Investment,https://mit-online.getsmarter.com/presentations/lp/mit-sa-p-sustainable-real-estate-analysis-and-investment-online-short-course/,
Strategic Communications in Society,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-strategic-communications-in-society-online-certificate-course/,
"Business, International Relations and the Political Economy",https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-business-international-relations/,
Health Economics and Policy,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-health-economics-and-policy-online-certificate-course/,
Inquiry-Driven Leadership,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-inquiry-driven-leadership-online-short-course/,
"Sustainability: Environment, Economy and Society",https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-sustainability-environment-economy-and-society-online-certificate-course/,
"Data: Law, Policy and Regulation",https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-data-law-policy-and-regulation-online-certificate-course/,
Digital Marketing Analytics,https://mit-online.getsmarter.com/presentations/lp/mit-digital-marketing-analytics-online-short-course-pr/,
Data Analysis and Visualization,https://online-short-courses.rice.edu/presentations/lp/rice-data-analysis-and-visualization-online-short-course/,
Healthcare Leadership,https://sche-online.getsmarter.com/presentations/lp/stanford-healthcare-leadership-online-short-course/,
Small Business: Growth and Management,https://uct-online.getsmarter.com/presentations/lp/uct-starting-a-small-business-short-course/,
Gut Health and the Microbiome,https://sche-online.getsmarter.com/presentations/lp/stanford-gut-health-and-the-microbiome-online-micro-course/,
Digital Transformation Strategy,https://gsb-online.getsmarter.com/presentations/lp/uct-digital-transformation-strategy-online-short-course/,
"International Relations: China, Russia, the US and the Future of Geopolitics",https://getsmarter.economist.com/presentations/lp/the-economist-international-relations-china-russia-the-us-and-the-future-of-geopolitics-online-short-course/,
General Management Program,https://sdabocconi-online.getsmarter.com/presentations/lp/sda-bocconi-school-of-management-general-management-program/,
Leadership and Change,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-leadership-and-change-online-certificate-course/,
Oxford Leading Through Uncertainty and Disruption: Building Resilient Organisations Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-organisational-resilience-programme/,
Real Estate Investment and Development,https://online-short-courses.rice.edu/presentations/lp/rice-real-estate-investment-and-development-online-short-course/,
Practical Labour Law,https://uct-online.getsmarter.com/presentations/lp/uct-practical-labour-law-short-course/,
Executive and Management Coaching,https://uct-online.getsmarter.com/presentations/lp/uct-executive-and-management-coaching-short-course/,
Product Management,https://uct-online.getsmarter.com/presentations/lp/uct-product-management-online-short-course/,
Programme Management: A Monitoring and Evaluation Approach,https://uct-online.getsmarter.com/presentations/lp/uct-programme-management-online-short-course/,
Business Analytics,https://uct-online.getsmarter.com/presentations/lp/uct-business-analytics-online-short-course/,
Bookkeeping,https://uct-online.getsmarter.com/presentations/lp/uct-bookkeeping-short-course/,
Marketing Analytics: Strategy and Decision-Making,https://uct-online.getsmarter.com/presentations/lp/uct-marketing-analytics-online-short-course/,
Agile Project Management,https://uct-online.getsmarter.com/presentations/lp/uct-agile-project-management-online-short-course/,
Instructional Design,https://uct-online.getsmarter.com/presentations/lp/uct-instructional-design-online-short-course/,
Data Protection and Privacy,https://uct-online.getsmarter.com/presentations/lp/uct-data-protection-and-privacy-online-short-course/,
Fundamentals of Cybersecurity,https://uct-online.getsmarter.com/presentations/lp/fundamentals-of-cybersecurity-online-short-course/,
Communication and Influence in the Digital Age,https://uct-online.getsmarter.com/presentations/lp/uct-communication-and-influence-online-short-course/,
Advanced Business Risk Management,https://uct-online.getsmarter.com/presentations/lp/uct-advanced-business-risk-management-short-course/,
Business Sustainability Strategy: Technology and Management,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-business-sustainability-strategy-technology-and-management-online-short-course/,
Organizational Leadership,https://rotman-utoronto.getsmarter.com/presentations/lp/university-of-toronto-senior-leadership-online-program/,
Negotiation Programme,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-programme-on-negotiation-online-certificate-course/,
Interpersonal Communication: Strategies for Executives,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-interpersonal-communication-strategies-for-executives-online-short-course/,
"Leading Diversity, Equity, and Inclusion",https://getsmarter.weinberg.northwestern.edu/presentations/lp/northwestern-university-leading-diversity-equity-and-inclusion-online-short-course/,
Organizational Leadership: Driving Culture and Performance,https://imd-online-programs.getsmarter.com/presentations/lp/imd-organizational-leadership-program/,
Machine Learning: Practical Applications,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-machine-learning-online-certificate-course/,
Inclusive Leadership Through Behavioural Science,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-inclusive-leadership-through-behavioural-science-online-certificate-course/,
Beyond Smart Cities: Emerging Design and Technology,https://mit-online.getsmarter.com/presentations/lp/mit-beyond-smart-cities-online-short-course/,
Women's Leadership Program: Leading With Power and Influence,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-executive-education-womens-leadership-leading-with-power-and-influence-online-program/,
Exercise Physiology,https://sche-online.getsmarter.com/presentations/lp/stanford-sche-exercise-physiology-online-short-course/,
Oxford Real Estate Investment Programme,https://oxford-onlineprogrammes.getsmarter.com/presentations/lp/oxford-real-estate-investment-programme/,
Public Policy Innovations,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-public-policy-innovations-online-certificate-course/,
Developing Digital Transformation Strategies,https://imd-online-programs.getsmarter.com/presentations/lp/imd-developing-digital-transformation-strategies-program/,
Social Entrepreneurship,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-social-entrepreneurship-online-certificate-course/,
Women Leading Change: Shaping Our Future,https://online-short-courses.cisl.cam.ac.uk/presentations/lp/university-of-cambridge-women-leading-change-shaping-our-future-online-short-course/,
Operations Management,https://uct-online.getsmarter.com/presentations/lp/uct-operations-management-short-course/,
"Property Management: Marketing, Contracts and Administration",https://uct-online.getsmarter.com/presentations/lp/property-management-online-short-course/,
Brand Management,https://uct-online.getsmarter.com/presentations/lp/uct-brand-strategy-and-management-online-short-course/,
Sports Management: Business Principles in Sport,https://uct-online.getsmarter.com/presentations/lp/sports-management-online-short-course/,
Executive Leadership: Leading From the Present,https://gsb-online.getsmarter.com/presentations/lp/uct-gsb-leadership-creating-a-people-centric-organisation-online-short-course/,
Digital Business Strategy: Harnessing Our Digital Future,https://mit-online.getsmarter.com/presentations/lp/mit-digital-business-strategy-online-short-course-pr/,
Strategic Change Management,https://getsmarter.kellogg.northwestern.edu/presentations/lp/northwestern-university-strategic-change-management-online-program/,
Making AI Work: Machine Intelligence for Business and Society,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-making-ai-work-online-course/,
Psychology of Addiction and Recovery,https://sche-online.getsmarter.com/presentations/lp/stanford-sche-psychology-of-addiction-and-recovery-online-short-course/,
Business and Social Justice: A Force for Social Change,https://online-short-courses.cisl.cam.ac.uk/presentations/lp/cambridge-business-and-social-justice-online-short-course/,
Cryptocurrency,https://mit-online.getsmarter.com/presentations/lp/mit-cryptocurrency-online-short-course-pr/,
Women’s Leadership Program: Leading Teams,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-executive-education-womens-leadership-leading-teams-online-program/,
The Leader as Coach,https://hecparis.getsmarter.com/presentations/lp/hecparis-the-leader-as-coach-online-program/,
CRISPR: Gene-editing Applications,https://harvardx-onlinecourses.getsmarter.com/presentations/lp/harvard-gene-editing-applications-online-short-course/,
Strategies for Supply Chain Digitalization,https://imd-online-programs.getsmarter.com/presentations/lp/imd-strategies-for-supply-chain-digitalization-program/,
Entrepreneurial Finance,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-entrepreneurial-finance-online-certificate-course/,
Unsupervised Machine Learning: Unlocking the Potential of Data,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-unsupervised-machine-learning-unlocking-the-potential-of-data-online-short-course/,
Corporate Climate Change Risk Management,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-executive-education-corporate-climate-change-risk-management-online-program/,
Sustainable Food: Production and Processing,https://online-short-courses.cisl.cam.ac.uk/presentations/lp/cambridge-sustainable-food-production-and-processing-online-short-course/,
Economic and Political Development in Developing Countries,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-economic-and-political-development-in-developing-countries-online-certificate-course/,
Internet of Things: Business Implications and Opportunities,https://mit-online.getsmarter.com/presentations/lp/mit-internet-of-things-online-short-course/,
Teaching With Technology,https://uct-online.getsmarter.com/presentations/lp/uct-teaching-with-technology-online-short-course/,
Sustainability Communication Strategies,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-sustainability-communication-strategies-online-course/,
Digital Transformation Strategy,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-executive-education-digital-transformation-strategy-online-program/,
Sales Management Program,https://sdabocconi-online.getsmarter.com/presentations/lp/sda-bocconi-school-of-management-sales-management-program/,
Regulation Strategy,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-regulation-strategy-online-certificate-course/,
Strategic Project Management,https://online-short-courses.rice.edu/presentations/lp/rice-strategic-project-management-online-short-course/,
Employee Wellness and Stress Management,https://sche-online.getsmarter.com/presentations/lp/stanford-employee-wellness-and-stress-management-online-short-course/,
Human-Computer Interaction for User Experience Design,https://mit-online.getsmarter.com/presentations/lp/mit-human-computer-interaction-for-uxd/,
Real Estate Development: Planning and Process,https://mit-online.getsmarter.com/presentations/lp/mit-sa-p-real-estate-development-planning-and-process-online-short-course/,
Public Relations (PR),https://uct-online.getsmarter.com/presentations/lp/uct-public-relations-short-course/,
Managing Technical Professionals,https://uct-online.getsmarter.com/presentations/lp/uct-managing-technical-professionals-online-short-course/,
Cost and Management Accounting,https://uct-online.getsmarter.com/presentations/lp/uct-cost-and-management-accounting-online-short-course/,
Change Management,https://uct-online.getsmarter.com/presentations/lp/uct-change-management-online-short-course/,
Blockchain and Digital Currency: The Future of Money,https://uct-online.getsmarter.com/presentations/lp/uct-blockchain-and-digital-currency-online-short-course/,
Cybersecurity Risk and Strategy,https://imd-online-programs.getsmarter.com/presentations/lp/imd-cybersecurity-risk-and-strategy-online-program/,
Management Analytics: Decision-Making Lessons From the Sports Industry,https://mit-online.getsmarter.com/presentations/lp/mit-management-analytics-decision-making-lessons-from-the-sports-industry-online-short-course/,
Fintech: Disruption in Finance,https://uct-online.getsmarter.com/presentations/lp/uct-fintech-disruption-in-finance-online-short-course/,
Rotman Women in Leadership,https://rotman-utoronto.getsmarter.com/presentations/lp/university-of-toronto-women-in-leadership-online-program/,
Real Estate Finance and Investment,https://getsmarter.kellogg.northwestern.edu/presentations/lp/northwestern-university-real-estate-finance-and-investment-online-program/,
Data Science in Real Estate,https://mit-online.getsmarter.com/presentations/lp/mit-data-science-in-real-estate-online-short-course/,
Blockchain and the Future of Finance,https://imd-online-programs.getsmarter.com/presentations/lp/imd-blockchain-and-the-future-of-finance-online-program/,
Economics for Business,https://mit-online.getsmarter.com/presentations/lp/mit-economics-for-business-online-short-course/,
Search Engine Optimisation,https://uct-online.getsmarter.com/presentations/lp/uct-search-engine-optimisation-short-course/,
Sustainable Finance and Investment,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-executive-education-sustainable-finance-and-investment-online-program/,
Real Estate Financial Analytics,https://mit-online.getsmarter.com/presentations/lp/mit-sa-p-real-estate-financial-analytics-online-short-course/,
"Social Media Strategy: Creating Engagement, Insight, and Action",https://mit-online.getsmarter.com/presentations/lp/mit-social-media-strategy-online-short-course/,
Digital Photography,https://uct-online.getsmarter.com/presentations/lp/uct-digital-photography-short-course/,
Leading the Future of Work,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-leading-the-future-of-work-online-short-course/,
Copywriting for Digital Marketing,https://uct-online.getsmarter.com/presentations/lp/uct-copywriting-for-digital-marketing-online-short-course/,
Applied Data Analysis and Visualisation for Business,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-applied-data-visualisation-analysis-online-certificate-course/,
Global Health Delivery,https://harvardx-onlinecourses.getsmarter.com/presentations/lp/harvard-global-health-delivery-online-short-course/,
Managing the Human Side of Digital Disruption,https://mit-online.getsmarter.com/presentations/lp/mit-sloan-managing-the-human-side-of-digital-disruption-online-course/,
Decision Making,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-execed-decision-making-program-online/,
"Supply Chain Management: AI, Sustainability, and Resilience Strategies Program",https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-executive-education-supply-chain-management-ai-sustainability-and-resilience-strategies-program/,
Public Sector Financial Reporting,https://uct-online.getsmarter.com/presentations/lp/uct-public-sector-financial-reporting-online-short-course/,
Leadership for Global Business and Politics,https://online-shortcourses.som.yale.edu/presentations/lp/yale-som-execed-global-business-and-politics-online-program/,
Leadership Program,https://ucdavis-gsm-online-shortcourses.getsmarter.com/presentations/lp/uc-davis-leadership-online-short-program/,
Sustainable Fashion: Brand and Business Strategy Program,https://sdabocconi-online.getsmarter.com/presentations/lp/sda-bocconi-school-of-management-sustainable-fashion-brand-and-business-strategy-program/,
Financial Analysis and Management Accounting,https://onlinecertificatecourses.lse.ac.uk/presentations/lp/lse-financial-analysis-and-management-accounting-online-certificate-course/,
